strategy,current_status,migration_pattern,state_complexity,execution_dependency,requires_new_pattern,priority,notes
four_ma_crossover_long,needs_refactor,fill_anchored_price,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep signal conditions; replace theoretical entry/exit state with confirmed fill price and fill-owned position.
four_ma_crossover_short,needs_refactor,fill_anchored_price,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep signal conditions; replace theoretical entry/exit state with confirmed fill price and fill-owned position.
ghost_trader_long,needs_refactor,virtual_trade_decision_model,high,position|fills|entry_fill_price,false,P2,"Retain my_* virtual-trade state for signal decisions; externalize actual position, fills, and position age."
ghost_trader_short,needs_refactor,virtual_trade_decision_model,high,position|fills|entry_fill_price,false,P2,"Retain my_* virtual-trade state for signal decisions; externalize actual position, fills, and position age."
going_in_style_long,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
going_in_style_short,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
in_the_zone_long,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
in_the_zone_short,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
jailbreak_long,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
jailbreak_short,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
keltner_channel_long,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
keltner_channel_short,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
king_keltner_long,needs_refactor,fill_anchored_price,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep signal conditions; replace theoretical entry/exit state with confirmed fill price and fill-owned position.
king_keltner_short,needs_refactor,fill_anchored_price,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep signal conditions; replace theoretical entry/exit state with confirmed fill price and fill-owned position.
ma_crossover_channel_long,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
ma_crossover_channel_short,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
ma_sup_res_long,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
ma_sup_res_short,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
no_hurry_long,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
no_hurry_short,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
obv_revisited_long,needs_refactor,fill_anchored_price,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep signal conditions; replace theoretical entry/exit state with confirmed fill price and fill-owned position.
obv_revisited_short,needs_refactor,fill_anchored_price,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep signal conditions; replace theoretical entry/exit state with confirmed fill price and fill-owned position.
open_close_histogram_long,needs_refactor,fill_anchored_price,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep signal conditions; replace theoretical entry/exit state with confirmed fill price and fill-owned position.
open_close_histogram_short,needs_refactor,fill_anchored_price,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep signal conditions; replace theoretical entry/exit state with confirmed fill price and fill-owned position.
redrover_long,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
redrover_short,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
spread_channel_breakout_long,blocked,blocked,unknown,required_market_data_contract,false,blocked,Required market-data contract is unavailable; execution pattern assessment must wait for the existing data contract.
spread_channel_breakout_short,blocked,blocked,unknown,required_market_data_contract,false,blocked,Required market-data contract is unavailable; execution pattern assessment must wait for the existing data contract.
superman_long,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
superman_short,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
thermostat_long,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
thermostat_short,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
three_ema_crossover_long,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
three_ema_crossover_short,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
trading_range_breakout_long,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
trading_range_breakout_short,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
traffic_jam_long,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
traffic_jam_short,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
trend_breakout_atr,needs_refactor,filled_position_lifecycle,high,position|fills|entry_fill_price|order_lifecycle,false,P2,"Start/reset position age, cooldown, and favourable-excursion state from confirmed fill transitions."
trendscore_long,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
trendscore_short,needs_refactor,market_derived_stop_target,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Keep market-derived stop/target formulas; source fill anchors and order lifecycle from execution.
vwm_long,needs_refactor,position_gate,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Decision engine already accepts external position context; replace wrapper-owned position mutation with fill-owned state.
vwm_short,needs_refactor,position_gate,high,position|fills|entry_fill_price|order_lifecycle,false,P2,Decision engine already accepts external position context; replace wrapper-owned position mutation with fill-owned state.
