strategy,current_status,category,execution_issue,complexity,risk,priority
king_keltner_short,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
ma_crossover_channel_long,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
ma_crossover_channel_short,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
ma_sup_res_long,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
ma_sup_res_short,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
no_hurry_long,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
no_hurry_short,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
obv_revisited_long,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
obv_revisited_short,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
open_close_histogram_long,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
open_close_histogram_short,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
redrover_long,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
redrover_short,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
spread_channel_breakout_long,blocked,D_blocked,required market-data contract is unavailable,blocked,critical,blocked
spread_channel_breakout_short,blocked,D_blocked,required market-data contract is unavailable,blocked,critical,blocked
superman_long,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
superman_short,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
thermostat_long,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
thermostat_short,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
three_ema_crossover_long,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
three_ema_crossover_short,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
trading_range_breakout_long,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
trading_range_breakout_short,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
traffic_jam_long,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
traffic_jam_short,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
trend_breakout_atr,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
trendscore_long,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
trendscore_short,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
turtle_trader,needs_refactor,C_complex,multi-action position plan and theoretical fill prices are maintained inside strategy state,very_high,high,P3
vwm_long,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
vwm_short,needs_refactor,B_state_migration,internal position and entry/stop state assume signal-bar fill,high,high,P2
