strategy_name,strategy_type,execution_status,adapter_type,signal_contract,position_contract,fill_contract,fee_supported,funding_supported,latency_supported,five_year_validated,migration_version,migration_date,state_complexity,migration_pattern,execution_dependency,estimated_effort
reference_deviation_short,short_only,migrated,LegacyExecutionState short-flat,string BUY/SELL/HOLD,execution_owned,FillRecord,yes,yes,yes,yes,phase2.3-v1,2026-07-18,low,fill_synchronized_pending_target,position|fills|entry_fill_price,complete
spread_channel_breakout_long,long_only,blocked,none,string BUY/SELL/HOLD,unavailable,unavailable,no,no,no,no,,,unknown,data_contract_first,required_market_data_contract,blocked
spread_channel_breakout_short,short_only,blocked,none,string BUY/SELL/HOLD,unavailable,unavailable,no,no,no,no,,,unknown,data_contract_first,required_market_data_contract,blocked
superman_long,long_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch3,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
superman_short,short_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch3,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
swinger_long,long_only,migrated,LegacyExecutionState long-flat,string BUY/SELL/HOLD,execution_owned,FillRecord,yes,yes,yes,yes,phase2.3-v1,2026-07-18,medium,fill_synchronized_pending_target,position|fills|entry_fill_price,complete
swinger_short,short_only,migrated,LegacyExecutionState short-flat,string BUY/SELL/HOLD,execution_owned,FillRecord,yes,yes,yes,yes,phase2.3-v1,2026-07-18,medium,fill_synchronized_pending_target,position|fills|entry_fill_price,complete
thermostat_long,long_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch3,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
thermostat_short,short_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch3,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
three_ema_crossover_long,long_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch3,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
three_ema_crossover_short,short_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch3,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
trading_range_breakout_long,long_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch4,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
trading_range_breakout_short,short_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch4,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
traffic_jam_long,long_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch4,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
traffic_jam_short,short_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch4,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
trend_breakout_atr,single_position,migrated,state_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch6,2026-07-18,high,position_gate+fill_anchored_price+filled_position_lifecycle,position|fills|entry_fill_price|order_lifecycle,complete
trendscore_long,long_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch4,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
trendscore_short,short_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch4,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
turtle_trader,long_short,migrated,state_adapter,PlannedSignal with TradeAction list unchanged,fill_synchronized,pyramid_fill_reconciliation,yes,yes,yes,yes,phase2.6,2026-07-18,very_high,pyramid_fill_reconciliation,position|fills|entry_fill_price|filled_quantity|order_lifecycle|realized_trade_outcome,complete
vwm_long,long_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch6,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
vwm_short,short_only,migrated,legacy_adapter,string BUY/SELL/HOLD unchanged,fill_synchronized,confirmed FillRecord,yes,yes,yes,yes,phase3.batch6,2026-07-18,high,position_gate+fill_anchored_price+market_derived_stop_target,position|fills|entry_fill_price|order_lifecycle,complete
